,appMatrName,edName,apptName,status
0,公开募集基金募集申请注册-富国中证2000交易型开放式指数证券投资基金发起式联接基金,机构部,富国基金管理有限公司,接收材料@20231019-->
1,公开募集基金募集申请注册-南方乐享稳健添利债券型证券投资基金,机构部,南方基金管理股份有限公司,接收材料@20231019-->
2,公开募集基金募集申请注册-华安恒生港股通中国央企红利交易型开放式指数证券投资基金,机构部,华安基金管理有限公司,接收材料@20231019-->
3,公开募集基金募集申请注册-宝盈盈悦纯债债券型证券投资基金,机构部,宝盈基金管理有限公司,接收材料@20231019-->
4,上市公司发行股票（含可转换为股票的公司债券等证券）购买资产注册,上市部,鞍山重型矿山机器股份有限公司,接收材料@20231019-->
5,公开募集基金募集申请注册-施罗德中国动力股票型证券投资基金,机构部,施罗德基金管理（中国）有限公司,接收材料@20231018-->
6,公开募集基金募集申请注册-长盛嘉鑫30天持有期纯债债券型证券投资基金,机构部,长盛基金管理有限公司,接收材料@20231018-->
7,公开募集基金募集申请注册-中信保诚90天持有期债券型证券投资基金,机构部,中信保诚基金管理有限公司,接收材料@20231018-->
8,公开募集基金募集申请注册-富国安泽中短债债券型证券投资基金,机构部,富国基金管理有限公司,接收材料@20231018-->
9,公开募集基金募集申请注册-易方达深证50交易型开放式指数证券投资基金,机构部,易方达基金管理有限公司,接收材料@20231018-->
10,公开募集基金募集申请注册-富国深证50交易型开放式指数证券投资基金,机构部,富国基金管理有限公司,接收材料@20231018-->
11,公开募集基金募集申请注册-招商恒生港股通创新药精选交易型开放式指数证券投资基金,机构部,招商基金管理有限公司,接收材料@20231018-->
12,上市公司向不特定对象发行可转换为股票的公司债券注册,发行部,宁波家联科技股份有限公司,接收材料@20231018-->
13,上市公司向特定对象发行股票注册,发行部,东方电气股份有限公司,接收材料@20231018-->
14,上市公司向不特定对象发行可转换为股票的公司债券注册,发行部,神州数码集团股份有限公司,接收材料@20231018-->
15,上市公司向特定对象发行股票注册,发行部,深圳王子新材料股份有限公司,接收材料@20231018-->
16,公开募集基金募集申请注册-华宝恒生港股通创新药精选交易型开放式指数证券投资基金,机构部,华宝基金管理有限公司,接收材料@20231017-->
17,公开募集基金募集申请注册-华夏聚顺优选六个月持有期债券型基金中基金（FOF）,机构部,华夏基金管理有限公司,接收材料@20231018-->
18,上市公司向特定对象发行股票注册,发行部,海默科技（集团）股份有限公司,接收材料@20231016-->
19,公开募集基金募集申请注册-平安价值臻选混合型证券投资基金,机构部,平安基金管理有限公司,接收材料@20231016-->
20,设立公募基金管理公司审批,机构部,中原证券股份有限公司,接收材料@20231016-->
21,公开募集基金募集申请注册-泓德国证2000指数增强型证券投资基金,机构部,泓德基金管理有限公司,接收材料@20231016-->
22,公开募集基金募集申请注册-中信保诚60天持有期债券型证券投资基金,机构部,中信保诚基金管理有限公司,接收材料@20231016-->
23,公开募集基金募集申请注册-富国中证核能核电交易型开放式指数证券投资基金,机构部,富国基金管理有限公司,接收材料@20231016-->
24,公开募集基金募集申请注册-海富通恒生中国H股金融行业交易型开放式指数证券投资基金（QDII）,机构部,海富通基金管理有限公司,接收材料@20231016-->
25,公开募集基金募集申请注册-长信稳瑞纯债债券型证券投资基金,机构部,长信基金管理有限责任公司,接收材料@20231016-->
26,公开募集基金募集申请注册-泓德智选启航混合型证券投资基金,机构部,泓德基金管理有限公司,接收材料@20231016-->
27,公开募集基金募集申请注册-华安中证信息技术应用创新产业指数型发起式证券投资基金,机构部,华安基金管理有限公司,接收材料@20231016-->
28,公司首次公开发行股票注册,发行部,上海龙旗科技股份有限公司,接收材料@20231016-->
29,公募基金管理人资格核准,机构部,国金证券资产管理有限公司,接收材料@20231016-->
30,公开募集基金募集申请注册-安信青享纯债债券型证券投资基金,机构部,安信基金管理有限责任公司,接收材料@20231016-->
31,股份公司向特定对象发行股票导致证券持有人累计超过200人或股东人数超过200人的非上市公众公司向特定对象发行股票注册,公众公司部,广州农村商业银行股份有限公司,接收材料@20231016-->
32,公司首次公开发行股票注册,发行部,广东宏石激光技术股份有限公司,接收材料@20231013-->
33,上市公司向特定对象发行股票注册,发行部,广州高澜节能技术股份有限公司,接收材料@20231013-->
34,公开募集基金募集申请注册-农银汇理高端制造混合型证券投资基金,机构部,农银汇理基金管理有限公司,接收材料@20231013-->
35,公开募集基金募集申请注册-招商安宁债券型证券投资基金,机构部,招商基金管理有限公司,接收材料@20231013-->
36,公开募集基金募集申请注册-信澳核心智选混合型证券投资基金,机构部,信达澳亚基金管理有限公司,接收材料@20231013-->
37,公开募集基金募集申请注册-华泰紫金南京建邺产业园封闭式基础设施证券投资基金,机构部,华泰证券（上海）资产管理有限公司,接收材料@20231013-->
38,公开募集基金募集申请注册-中欧稳裕30天滚动持有债券型发起式证券投资基金,机构部,中欧基金管理有限公司,接收材料@20231013-->
39,公开募集基金募集申请注册-华泰柏瑞标普医疗保健精选行业交易型开放式指数证券投资基金（QDII）,机构部,华泰柏瑞基金管理有限公司,接收材料@20231013-->
40,股份公司向特定对象发行股票导致证券持有人累计超过200人或股东人数超过200人的非上市公众公司向特定对象发行股票注册,公众公司部,湖南华容农村商业银行股份有限公司,接收材料@20231013-->
41,上市公司向特定对象发行股票注册,发行部,苏州敏芯微电子技术股份有限公司,接收材料@20231013-->
42,上市公司向特定对象发行股票注册,发行部,广东光华科技股份有限公司,接收材料@20231013-->
43,上市公司向不特定对象发行可转换为股票的公司债券注册,发行部,宁波博威合金材料股份有限公司,接收材料@20231013-->
44,上市公司向特定对象发行股票注册,发行部,福建东百集团股份有限公司,接收材料@20231013-->
45,公开募集基金募集申请注册-中欧臻选成长混合型发起式证券投资基金,机构部,中欧基金管理有限公司,接收材料@20231012-->受理通知@20231017-->
46,公开募集基金募集申请注册-华商数字经济混合型证券投资基金,机构部,华商基金管理有限公司,接收材料@20231012-->受理通知@20231017-->
47,上市公司向不特定对象发行可转换为股票的公司债券注册,发行部,南京盛航海运股份有限公司,接收材料@20231012-->
48,上市公司向特定对象发行股票注册,发行部,曲美家居集团股份有限公司,接收材料@20231012-->
49,上市公司发行股票（含可转换为股票的公司债券等证券）购买资产注册,上市部,甘肃祁连山水泥集团股份有限公司,接收材料@20231012-->
50,公开募集基金募集申请注册-嘉实中证汽车零部件主题交易型开放式指数证券投资基金,机构部,嘉实基金管理有限公司,接收材料@20231019-->
51,公开募集基金募集申请注册-诺德安悦债券型证券投资基金,机构部,诺德基金管理有限公司,接收材料@20231019-->
52,公开募集基金募集申请注册-中银中证央企红利50指数型证券投资基金,机构部,中银基金管理有限公司,接收材料@20231018-->
53,公开募集基金募集申请注册-恒生前海恒荣纯债债券型证券投资基金,机构部,恒生前海基金管理有限公司,接收材料@20231017-->
54,公开募集基金募集申请注册-永赢双季享6个月持有期债券型证券投资基金,机构部,永赢基金管理有限公司,接收材料@20231017-->
55,公开募集基金募集申请注册-天弘稳兴债券型证券投资基金,机构部,天弘基金管理有限公司,接收材料@20231016-->
56,公开募集基金变更注册-华富健康文娱灵活配置混合型证券投资基金,机构部,华富基金管理有限公司,接收材料@20231016-->
57,公开募集基金募集申请注册-汇添富中证红利交易型开放式指数证券投资基金发起式联接基金,机构部,汇添富基金管理股份有限公司,接收材料@20231016-->
58,公开募集基金募集申请注册-永赢双月享60天滚动持有债券型证券投资基金,机构部,永赢基金管理有限公司,接收材料@20231013-->
59,公开募集基金募集申请注册-华泰柏瑞道琼斯美股红利100交易型开放式指数证券投资基金（QDII）,机构部,华泰柏瑞基金管理有限公司,接收材料@20231013-->
60,公开募集基金募集申请注册-广发中证1000指数增强型证券投资基金,机构部,广发基金管理有限公司,接收材料@20231013-->
61,公开募集基金募集申请注册-嘉实道琼斯美股红利100交易型开放式指数证券投资基金（QDII）,机构部,嘉实基金管理有限公司,接收材料@20231012-->
62,公开募集基金募集申请注册-华泰柏瑞恒生创新药交易型开放式指数证券投资基金（QDII）,机构部,华泰柏瑞基金管理有限公司,接收材料@20231012-->补正通知@20231017-->
63,公开募集基金募集申请注册-富国中证细分化工产业主题交易型开放式指数证券投资基金发起式联接基金,机构部,富国基金管理有限公司,接收材料@20231012-->受理通知@20231017-->
64,向不特定合格投资者公开发行股票并在北京证券交易所上市注册,公众公司部,浙江坤博精工科技股份有限公司,接收材料@20231012-->
65,合格境外投资者资格许可,机构部,奥地利瑞芬森银行封闭式股份公司,接收材料@20231012-->受理通知@20231012-->
66,公开募集基金募集申请注册-易方达恒生港股通创新药交易型开放式指数证券投资基金,机构部,易方达基金管理有限公司,接收材料@20231011-->补正通知@20231017-->
67,公开募集基金募集申请注册-华泰柏瑞锦华债券型证券投资基金,机构部,华泰柏瑞基金管理有限公司,接收材料@20231011-->受理通知@20231017-->
68,公开募集基金募集申请注册-东方红慧鑫甄选6个月持有期混合型证券投资基金,机构部,上海东方证券资产管理有限公司,接收材料@20231011-->受理通知@20231017-->
69,公开募集基金募集申请注册-南方中债0-3年农发行债券指数证券投资基金,机构部,南方基金管理股份有限公司,接收材料@20231011-->受理通知@20231017-->
70,公募基金管理公司变更持有百分之五以上股权的股东、持股不足百分之五但对公司治理有重大影响的股东或者实际控制人审批,机构部,国联安基金管理有限公司,接收材料@20231011-->补正通知@20231018-->
71,公开募集基金募集申请注册-南方益稳稳健增利债券型证券投资基金,机构部,南方基金管理股份有限公司,接收材料@20231011-->受理通知@20231017-->
72,合格境外投资者资格许可,机构部,佰利资产管理(新加坡)有限公司,接收材料@20231011-->受理通知@20231011-->
73,上市公司向不特定对象发行可转换为股票的公司债券注册,发行部,浙江镇洋发展股份有限公司,接收材料@20231010-->
74,公开募集基金募集申请注册-华安睿信优选混合型证券投资基金,机构部,华安基金管理有限公司,接收材料@20231010-->受理通知@20231017-->
75,公开募集基金募集申请注册-华夏中证芯片设计主题交易型开放式指数证券投资基金,机构部,华夏基金管理有限公司,接收材料@20231010-->补正通知@20231017-->
76,公开募集基金募集申请注册-国泰国证信息技术创新主题交易型开放式指数证券投资基金发起式联接基金,机构部,国泰基金管理有限公司,接收材料@20231010-->受理通知@20231017-->
77,公开募集基金募集申请注册-国泰利添120天滚动持有债券型证券投资基金,机构部,国泰基金管理有限公司,接收材料@20231010-->受理通知@20231017-->
78,公司首次公开发行股票注册,发行部,成都华微电子科技股份有限公司,接收材料@20231010-->
79,公开募集基金募集申请注册-申万菱信中证2000指数增强型证券投资基金,机构部,申万菱信基金管理有限公司,接收材料@20231010-->受理通知@20231017-->
80,公开募集基金募集申请注册-信澳稳悦60天滚动持有债券型证券投资基金,机构部,信达澳亚基金管理有限公司,接收材料@20231010-->受理通知@20231017-->
81,公开募集基金募集申请注册-永赢逸享债券型证券投资基金,机构部,永赢基金管理有限公司,接收材料@20231009-->受理通知@20231012-->
82,股份公司向特定对象发行股票导致证券持有人累计超过200人或股东人数超过200人的非上市公众公司向特定对象发行股票注册,公众公司部,湖南桃江农村商业银行股份有限公司,接收材料@20231009-->补正通知@20231016-->
83,公开募集基金募集申请注册-西部利得月月兴30天持有期债券型证券投资基金,机构部,西部利得基金管理有限公司,接收材料@20231009-->受理通知@20231012-->
84,公开募集基金募集申请注册-信澳星亮智选混合型证券投资基金,机构部,信达澳亚基金管理有限公司,接收材料@20231009-->受理通知@20231012-->
85,上市公司向特定对象发行股票注册,发行部,江苏裕兴薄膜科技股份有限公司,接收材料@20231008-->
86,公司首次公开发行股票注册,发行部,浙江富特科技股份有限公司,接收材料@20231008-->
87,合格境外投资者资格许可,机构部,华融国际资产管理有限公司,接收材料@20231008-->受理通知@20231008-->一次书面反馈@20231012-->
88,向不特定合格投资者公开发行股票并在北京证券交易所上市注册,公众公司部,北京广厦环能科技股份有限公司,接收材料@20231007-->
89,公募基金管理公司在境外设立、收购、参股经营机构审批,机构部,华泰柏瑞基金管理有限公司,接收材料@20231007-->补正通知@20231012-->
90,期货公司期货交易咨询业务许可,期货部,盛达期货有限公司,接收材料@20231008-->受理通知@20231013-->
91,公开募集基金变更注册-景顺长城星曜精选三个月持有期混合型基金中基金（FOF）,机构部,景顺长城基金管理有限公司,接收材料@20230928-->
92,公开募集基金募集申请注册-万家中证红利交易型开放式指数证券投资基金,机构部,万家基金管理有限公司,接收材料@20230928-->受理通知@20231012-->
93,上市公司向不特定对象发行可转换为股票的公司债券注册,发行部,杭州集智机电股份有限公司,接收材料@20230928-->
94,证券公司专业子公司设立审批,机构部,东兴证券股份有限公司,接收材料@20230928-->补正通知@20231011-->
95,上市公司向不特定对象发行可转换为股票的公司债券注册,发行部,四川和邦生物科技股份有限公司,接收材料@20230928-->
96,股份公司向特定对象发行股票导致证券持有人累计超过200人或股东人数超过200人的非上市公众公司向特定对象发行股票注册,公众公司部,沧州银行股份有限公司,接收材料@20230928-->补正通知@20231011-->
